name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing,big_club,age_cat
Dean Marney,Burnley,33,CM,2,1.0,171,51,1.0,England,0,4,0,0,5
Daniel Amartey,Leicester+City,22,DM,2,5.0,356,53,4.0,Ghana,0,9,0,0,2
Fernandinho,Manchester+City,32,DM,2,18.0,595,78,3.0,Brazil,0,11,0,1,5
Eric Bailly,Manchester+United,23,CB,3,30.0,1588,105,4.0,Cote d'Ivoire,0,12,1,1,2
Matt Ritchie,Newcastle+United,27,RM,2,9.0,566,0,2.0,Scotland,0,13,0,0,3
Tammy Abraham,Swansea,19,CF,1,8.0,1227,0,1.0,England,0,16,0,0,1
Leonardo Ulloa,Leicester+City,30,CF,1,6.0,472,24,2.0,Argentina,0,9,0,0,4
Glenn Murray,Brighton+and+Hove,33,CF,1,3.5,496,0,1.0,England,0,3,0,0,5
Moussa Sissokho,Tottenham,27,CM,2,20.0,1162,43,2.0,France,0,17,1,1,3
Adrian,West+Ham,30,GK,4,8.0,266,64,2.0,Spain,0,20,0,0,4
Ilkay Gundogan,Manchester+City,26,CM,2,30.0,1586,41,2.0,Germany,0,11,1,1,3
Collin Quaner,Huddersfield,26,CF,1,1.0,126,0,2.0,Germany,0,8,0,0,3
Jack Payne,Huddersfield,25,CM,2,0.25,81,0,1.0,England,0,8,0,0,3
Troy Deeney,Watford,29,CF,1,11.0,1141,130,1.0,England,0,18,0,0,4
Pedro,Chelsea,29,RW,1,28.0,1500,162,2.0,Spain,0,5,0,1,4
Florian Lejeune,Newcastle+United,26,CB,3,5.0,65,0,2.0,France,0,13,0,0,3
Jon Gorenc Stankovic,Huddersfield,21,CB,3,0.5,83,0,2.0,Slovenia,0,8,0,0,1
Mark Hudson,Huddersfield,35,CB,3,0.5,70,0,1.0,England,0,8,0,0,6
Wilfried Zaha,Crystal+Palace,24,RW,1,18.0,1709,149,4.0,Cote d'Ivoire,0,6,0,0,2
Wes Morgan,Leicester+City,33,CB,3,3.0,649,63,3.0,Jamaica,0,9,0,0,5
Andrew Surman,Bournemouth,30,CM,2,2.0,154,44,1.0,England,0,2,0,0,4
Jordan Henderson,Liverpool,27,CM,2,28.0,1236,73,1.0,England,0,10,0,1,3
Emre Can,Liverpool,23,DM,2,15.0,1253,104,2.0,Germany,0,10,0,1,2
Liam Rosenior,Brighton+and+Hove,33,RB,3,1.0,132,0,1.0,England,0,3,0,0,5
Mathew Ryan,Brighton+and+Hove,25,GK,4,3.5,344,0,4.0,Australia,0,3,0,0,3
Georginio Wijnaldum,Liverpool,26,CM,2,28.0,1280,149,2.0,Netherlands,0,10,1,1,3
Sadio Mane,Liverpool,25,LW,1,40.0,3219,156,4.0,Senegal,0,10,1,1,3
Philippe Coutinho,Liverpool,25,AM,1,45.0,2958,171,3.0,Brazil,0,10,0,1,3
Elias Kachunga,Huddersfield,25,RW,1,3.5,231,0,4.0,Congo DR,0,8,0,0,3
